docente,categoria,codigo_programa
ADRIANA BOZZI,COLABORADOR,28007018008P8
ANA PAULA TROVATTI UETANABARO,PERMANENTE,28007018008P8
ANDREA MIURA DA COSTA,PERMANENTE,28007018008P8
CARLA CRISTINA ROMANO,COLABORADOR,28007018008P8
CARLOS PRIMINHO PIROVANI,PERMANENTE,28007018008P8
EDUARDO ARY VILLELA MARINHO,PERMANENTE,28007018008P8
EDUARDO GROSS,PERMANENTE,28007018008P8
ELIZAMA AGUIAR DE OLIVEIRA,PERMANENTE,28007018008P8
JACQUES ROBERT NICOLI,PERMANENTE,28007018008P8
JAIME HENRIQUE AMORIM SANTOS,PERMANENTE,28007018008P8
JANE LIMA DOS SANTOS,PERMANENTE,28007018008P8
JOAO CARLOS TEIXEIRA DIAS,PERMANENTE,28007018008P8
LUCAS JOSE LUDUVERIO PIZAURO,PERMANENTE,28007018008P8
LUCAS MIRANDA MARQUES,PERMANENTE,28007018008P8
LUCIANA DEBORTOLI DE CARVALHO,PERMANENTE,28007018008P8
LUCIENE CRISTINA GASTALHO CAMPOS LUIZ,PERMANENTE,28007018008P8
LUIZ CARLOS SALAY,PERMANENTE,28007018008P8
MAYSA SANTOS BARBOSA,COLABORADOR,28007018008P8
RACHEL PASSOS REZENDE,PERMANENTE,28007018008P8
WILSON BARROS LUIZ,PERMANENTE,28007018008P8
BRUNELA PEREIRA DA SILVA,PERMANENTE,28007018012P5
DANILO DE SANTANA NUNES,PERMANENTE,28007018012P5
ELIZAMA AGUIAR DE OLIVEIRA,PERMANENTE,28007018012P5
ERICA CRISTINA ALMEIDA,PERMANENTE,28007018012P5
ERICKSON FABIANO MOURA SOUSA SILVA,PERMANENTE,28007018012P5
FRANCO DANI RICO AMADO,PERMANENTE,28007018012P5
JOSE RENATO DE CASTRO PESSOA,PERMANENTE,28007018012P5
KARLA FURTADO ANDRIANI,PERMANENTE,28007018012P5
LEONARDO IUSUTI DE MEDEIROS,PERMANENTE,28007018012P5
LUIZ CARLOS SALAY,PERMANENTE,28007018012P5
MAIRA DOS SANTOS COSTA,COLABORADOR,28007018012P5
MARCELO TRAMONTIN SOUZA,VISITANTE,28007018012P5
MIRIAM SANAE TOKUMOTO,PERMANENTE,28007018012P5
NILA CECILIA DE FARIA LOPES MEDEIROS,PERMANENTE,28007018012P5
PAULO NEILSON MARQUES DOS ANJOS,PERMANENTE,28007018012P5
ROSENIRA SERPA DA CRUZ,PERMANENTE,28007018012P5
RUAN CARLOS DE ARAUJO MOURA,PERMANENTE,28007018012P5
TACIA COSTA VELOSO,COLABORADOR,28007018012P5
THIAGO FRANCISCO DE SOUZA,PERMANENTE,28007018012P5
VERA ROSA CAPELOSSI,PERMANENTE,28007018012P5
ALEXANDRE DIAS MUNHOZ,PERMANENTE,28007018007P1
ANAIA DA PAIXAO SEVA,PERMANENTE,28007018007P1
BIANCA MENDES MACIEL,PERMANENTE,28007018007P1
DANILO SIMONINI TEIXEIRA,PERMANENTE,28007018007P1
FABIANA LESSA SILVA,PERMANENTE,28007018007P1
FLAVIA REGINA MIRANDA,PERMANENTE,28007018007P1
GEORGE REGO ALBUQUERQUE,PERMANENTE,28007018007P1
GUSTAVO BRAGA,COLABORADOR,28007018007P1
JOSE AUGUSTO GOMES AZEVEDO,PERMANENTE,28007018007P1
JUNEO FREITAS SILVA,PERMANENTE,28007018007P1
LEDA MARIA DE CASTRO COIMBRA CAMPOS,COLABORADOR,28007018007P1
LORENDANE MILLENA DE CARVALHO,COLABORADOR,28007018007P1
LUCAS JOSE LUDUVERIO PIZAURO,PERMANENTE,28007018007P1
LUCIANO CARDOSO SANTOS,PERMANENTE,28007018007P1
MARCOS VINICIUS GUALBERTO BARBOSA DA SILVA,PERMANENTE,28007018007P1
MARIO SERGIO LIMA DE LAVOR,PERMANENTE,28007018007P1
RENATA SANTIAGO ALBERTO CARLOS,PERMANENTE,28007018007P1
SELENE SIQUEIRA DA CUNHA NOGUEIRA,PERMANENTE,28007018007P1
STEPHANIE CARVALHO BORGES,COLABORADOR,28007018007P1
ALEXANDRE JUSTO DE OLIVEIRA LIMA,PERMANENTE,28007018075P7
ALINE OLIVEIRA DA CONCEICAO,PERMANENTE,28007018075P7
ANA PAULA TROVATTI UETANABARO,PERMANENTE,28007018075P7
CARLA CRISTINA ROMANO,COLABORADOR,28007018075P7
CARLOS ALBERTO MENEZES,PERMANENTE,28007018075P7
CARLOS FERNANDO DE MELLO,PERMANENTE,28007018075P7
DAVID OHARA,PERMANENTE,28007018075P7
EDUARDO ARY VILLELA MARINHO,PERMANENTE,28007018075P7
EDUARDO DA SILVA ALVES,COLABORADOR,28007018075P7
EDUARDO KOJI TAMURA,PERMANENTE,28007018075P7
EMANUELLA GOMES MAIA,COLABORADOR,28007018075P7
KATIA MICHELLE FREITAS,COLABORADOR,28007018075P7
LAIS FERNANDA BERRO,PERMANENTE,28007018075P7
MILENA MAGALHAES ALELUIA,PERMANENTE,28007018075P7
ROSANA CAMARINI,COLABORADOR,28007018075P7
SANDRA ROCHA GADELHA MELLO,PERMANENTE,28007018075P7
STEPHANIE CARVALHO BORGES,"COLABORADOR
	                                    	PERMANENTE",28007018075P7
ALEXANDRE SCHIAVETTI,COLABORADOR,22001018074P6
ANDREA DA SILVA GOMES,PERMANENTE,22001018074P6
CHRISTIANA CABICIERI PROFICE,PERMANENTE,22001018074P6
DANIELA MARIANO LOPES DA SILVA,PERMANENTE,22001018074P6
ERIK GALVAO PARANHOS DA SILVA,PERMANENTE,22001018074P6
FABIO ALAN CARQUEIJA AMORIM,PERMANENTE,22001018074P6
FERMIN DE LA CARIDAD GARCIA VELASCO,PERMANENTE,22001018074P6
JOSE ADOLFO DE ALMEIDA NETO,PERMANENTE,22001018074P6
LUCIANO BRITO RODRIGUES,COLABORADOR,22001018074P6
MARCIEL ELIO RODRIGUES,PERMANENTE,22001018074P6
MONICA DE MOURA PIRES,PERMANENTE,22001018074P6
RAILDO MOTA DE JESUS,PERMANENTE,22001018074P6
